topic,question,options,correct_answer
Cloud Computing,What is cloud elasticity?,"['Automatic scaling of resources up or down', 'Cloud storing only elastic files', 'Flexible internet cables', 'Backup storage system']",Automatic scaling of resources up or down
Cloud Computing,Which protocol is commonly used for secure data transfer to the cloud?,"['HTTPS', 'FTP', 'Telnet', 'SMTP']",HTTPS
Cloud Computing,What is a cloud region?,"['A geographical location where cloud data centers are located', 'A local folder in the cloud', 'A security certificate', 'A user account type']",A geographical location where cloud data centers are located
Data Science,What is the main goal of data science?,"['Extract knowledge and insights from data', 'Design physical machines', 'Create 3D models', 'Manage office documents']",Extract knowledge and insights from data
Data Science,Which of these is an example of a supervised learning algorithm?,"['Linear Regression', 'K-Means Clustering', 'PCA', 'Apriori']",Linear Regression
Data Science,What is the first step in a data science workflow?,"['Data collection', 'Model training', 'Feature scaling', 'Hyperparameter tuning']",Data collection
Data Science,Which Python library is widely used for data manipulation?,"['Pandas', 'NumPy', 'Matplotlib', 'TensorFlow']",Pandas
Data Science,What is feature engineering?,"['Creating new features from existing data to improve model performance', 'Building a software feature', 'Testing system security', 'Debugging a program']",Creating new features from existing data to improve model performance
Data Science,What is the purpose of cross-validation?,"['Evaluate a model’s ability to generalize', 'Speed up training', 'Encrypt data', 'Compress files']",Evaluate a model’s ability to generalize
Data Science,Which of these is an example of an unsupervised learning task?,"['Clustering', 'Regression', 'Classification', 'Time series forecasting']",Clustering
Data Science,What does EDA stand for?,"['Exploratory Data Analysis', 'Extended Data Architecture', 'External Data Access', 'Enterprise Data Automation']",Exploratory Data Analysis
Data Science,Which metric is commonly used to evaluate classification models?,"['Accuracy', 'Mean Squared Error', 'RMSE', 'R-squared']",Accuracy
Data Science,What is the main purpose of data visualization?,"['Communicate insights from data clearly', 'Store data', 'Remove outliers', 'Normalize datasets']",Communicate insights from data clearly
Machine Learning,What is overfitting in machine learning?,"['Model performs well on training data but poorly on unseen data', 'Model performs well on all datasets', 'Model underestimates outputs', 'Model has no parameters']",Model performs well on training data but poorly on unseen data
Machine Learning,Which algorithm is used for classification tasks?,"['Logistic Regression', 'K-Means', 'PCA', 'DBSCAN']",Logistic Regression
Machine Learning,What is the purpose of a learning rate in optimization?,"['Control step size during gradient descent', 'Determine number of layers', 'Set batch size', 'Reduce overfitting']",Control step size during gradient descent
Machine Learning,Which of these is an ensemble learning method?,"['Random Forest', 'Linear Regression', 'KNN', 'Naive Bayes']",Random Forest
Machine Learning,What is the difference between supervised and unsupervised learning?,"['Supervised uses labeled data, unsupervised uses unlabeled data', 'Supervised is faster', 'Unsupervised always uses neural networks', 'They are the same']","Supervised uses labeled data, unsupervised uses unlabeled data"
Machine Learning,Which activation function is commonly used in hidden layers?,"['ReLU', 'Softmax', 'Sigmoid', 'Tanh']",ReLU
Machine Learning,What is a confusion matrix used for?,"['Evaluate classification performance', 'Store predictions', 'Visualize training loss', 'Debug code']",Evaluate classification performance
Machine Learning,Which of the following is a hyperparameter?,"['Learning rate', 'Model predictions', 'Accuracy score', 'Loss value']",Learning rate
Machine Learning,What does regularization help with?,"['Reducing overfitting', 'Speeding up training', 'Improving GPU performance', 'Removing null values']",Reducing overfitting
Machine Learning,Which library is popular for deep learning in Python?,"['TensorFlow', 'Pandas', 'Matplotlib', 'Seaborn']",TensorFlow
MLOps,What is the main goal of MLOps?,"['Streamline and automate the ML lifecycle', 'Create more ML models manually', 'Replace developers', 'Build UI applications']",Streamline and automate the ML lifecycle
MLOps,Which tool is commonly used for experiment tracking?,"['MLflow', 'Docker', 'GitHub', 'Postman']",MLflow
MLOps,What does CI/CD stand for in MLOps?,"['Continuous Integration / Continuous Deployment', 'Cloud Integration / Code Delivery', 'Continuous Improvement / Continuous Design', 'Code Integration / Continuous Debugging']",Continuous Integration / Continuous Deployment
MLOps,What is model drift?,"['Change in model performance due to data distribution shifts', 'When a model moves to another cloud provider', 'A slow training process', 'Using outdated libraries']",Change in model performance due to data distribution shifts
MLOps,Which containerization tool is widely used in MLOps?,"['Docker', 'Kubernetes', 'Podman', 'VirtualBox']",Docker
MLOps,What is the purpose of a feature store?,"['Centralized repository for storing ML features', 'Database for model predictions', 'Version control for code', 'Backup system']",Centralized repository for storing ML features
MLOps,Which orchestration tool is often used in MLOps pipelines?,"['Apache Airflow', 'NumPy', 'Jupyter', 'Flask']",Apache Airflow
MLOps,What is the role of monitoring in MLOps?,"['Track model performance and detect anomalies', 'Optimize hyperparameters', 'Store datasets', 'Generate new features']",Track model performance and detect anomalies
MLOps,Which cloud service offers SageMaker for MLOps?,"['AWS', 'Azure', 'GCP', 'IBM Cloud']",AWS
MLOps,What is the main benefit of model versioning?,"['Reproduce and compare models over time', 'Improve GPU speed', 'Reduce dataset size', 'Encrypt models']",Reproduce and compare models over time
Natural Language Processing,What is the main goal of NLP?,"['Enable machines to understand and process human language', 'Teach humans programming languages', 'Translate code into binary', 'Build operating systems']",Enable machines to understand and process human language
Natural Language Processing,Which of these is a common NLP task?,"['Sentiment Analysis', 'Sorting numbers', 'Rendering 3D graphics', 'Compiling code']",Sentiment Analysis
Natural Language Processing,What does tokenization do?,"['Splits text into smaller units like words or subwords', 'Encrypts text', 'Combines sentences', 'Translates text']",Splits text into smaller units like words or subwords
Natural Language Processing,Which model architecture is popular in NLP?,"['Transformer', 'Convolutional Neural Network', 'Decision Tree', 'Random Forest']",Transformer
Natural Language Processing,What does BERT stand for?,"['Bidirectional Encoder Representations from Transformers', 'Binary Encoding Recurrent Transformer', 'Basic Encoder Representation Technique', 'Bidirectional Entity Recognition Tool']",Bidirectional Encoder Representations from Transformers
Natural Language Processing,Which library is widely used for NLP in Python?,"['Hugging Face Transformers', 'OpenCV', 'Matplotlib', 'scikit-learn']",Hugging Face Transformers
Natural Language Processing,What is lemmatization?,"['Reducing words to their base or dictionary form', 'Removing punctuation', 'Counting word frequencies', 'Sorting sentences']",Reducing words to their base or dictionary form
Natural Language Processing,What is named entity recognition (NER)?,"['Identifying and classifying entities like names, dates, locations in text', 'Recognizing code functions', 'Detecting syntax errors', 'Analyzing images']","Identifying and classifying entities like names, dates, locations in text"
Natural Language Processing,Which of the following is a language model?,"['GPT-3', 'ResNet', 'YOLO', 'XGBoost']",GPT-3
Natural Language Processing,What is stop word removal?,"[""Eliminating common words like 'and', 'the' from text"", 'Deleting rare words', 'Removing typos', 'Filtering out foreign words']","Eliminating common words like 'and', 'the' from text"
