topic,job_title,site (remote country),tasks,Perks/Benefits,Skills/Tech-stack required,Educational requirements,seniority,yoe,employment_type,extra_info,created_at,job_id,posted_by
Artificial Intelligence,AI Team Lead,"Chennai, India","Design and develop generative AI models
Implement and optimize frontend and backend AI functionalities
Lead full AI project lifecycle from requirements to deployment
Mentor junior developers in AI and full stack development
Stay updated with AI advancements and integrate new tools and methods","401k match
Disability Life AD&D insurance
Education reimbursements
Flexible work
In-house training
Medical/Dental/Vision insurance","AI ethics, API Development, Automation frameworks, AWS, Azure, Chatbot Development, Cloud Platforms, Communication, Computer Vision, Data Governance, Deep learning, DevOps, Full Stack, Full stack technologies, GCP, Hugging Face, Langchain, Langgraph, Langsmith, Machine Learning, .NET, NLP, OpenAI, Problem Solving, Python, PyTorch, Security, Semantic Kernel, TensorFlow","AI, Bachelor's, Data Science, Master's in Computer Science",Senior level / Expert,9,Full Time,,2025-08-07,ai-ai-team-lead-01,smith_ltd@demo
Artificial Intelligence,Gen AI Developer,Pakistan,"Analyze and preprocess datasets
Apply Retrieval-Augmented Generation techniques
Design and implement end-to-end AI solutions
Develop Multi Model and RAG applications
Evaluate agent performance and communication standards
Explore and prototype LLM applications
Fine-tune LLMs and SLMs
Present technical concepts to stakeholders
Translate requirements into AI solutions",,"A2A, Agent communication, Agent communication standards, AI/ML, Autogen, AWS, Azure, Claude, Communication standards, Crew.ai, Databricks, Embeddings, GCP, Gemini, Langchain, Langgraph, Llama, Llamaindex, MCP, Mistral, MLOps, Model Orchestration, OpenAI, Prompt engineering, Python, Synthetic data","Bachelor's Degree, Master's Degree",Mid-level / Intermediate,5,Full Time,,2025-08-07,ai-gen-ai-developer-01,harrison_herrera_and_roberts@demo
Artificial Intelligence,AI Engineer (GenAI),"Quận 3, Vietnam","Build multi-agent orchestration systems
Collaborate with backend and prompt teams
Design RAG pipelines
Develop custom AI frameworks
Optimize application performance",,"Agile methodologies, AI Search, Azure OpenAI, CSS, Django, Docker, Flask, Git, HTML, JavaScript, Python, RAG Implementation, React, SQL","Bachelor's Degree, Master's Degree",Senior level / Expert,5,Full Time,,2025-08-07,ai-ai-engineer-genai-01,noble_wilson_and_decker@demo
Artificial Intelligence,Senior AI Developer,"Chennai, India","Collaborate with stakeholders to integrate AI into workflows
Conduct security assessments of AI solutions
Implement MLOps practices for deployment and monitoring",,"AWS, Azure, Data Preprocessing, Docker, GCP, Generative AI, Hugging Face, Hugging Face Transformers, Keras, Kubernetes, LLMs, MLOps, Model Deployment, Model Optimization, Prompt engineering, Python, PyTorch, SQL, TensorFlow","Bachelor, Master",Senior level / Expert,3,Full Time,,2025-08-07,ai-senior-ai-developer-01,burns-parsons@demo
Artificial Intelligence,Sr. AI Engineer,Madrid,"Communicate with stakeholders to align technology with business goals
Create reference architecture and visual diagrams
Design and implement intelligent automation solutions
Design application performance metrics
Ensure compliance with IT policies and standards
Identify development and support needs","401k matching
Dental insurance
Employee volunteer program
Medical insurance
Time off
Tuition assistance
Wellness program","Agentic AI, Automation Anywhere, Automation platforms, Azure DevOps, Banking, Blue Prism, Compliance Standards, Financial Services, Generative AI, Governance, ICR, IT Development, IT Networking, IT Support, LLMs, Low Code, Low Code Automation, Low-code automation platforms, Microsoft Power Platform, Nintex K2, OCR, Power Platform, Process Automation, Project Management, Risk Mitigation, Robotic Process Automation, RPA, Team leadership, UiPath",Bachelor's Degree,Senior level / Expert,4,Full Time,,2025-08-07,ai-sr-ai-engineer-01,figueroa_and_sons@demo
Artificial Intelligence,AI Engineer,"(HE)Office Bangalore, Brigade Opus, India","Build and deploy AI prototypes using MaaS platforms
Design and develop full-stack applications
Implement MVC architecture
Integrate AI/ML models into products
Participate in code reviews
Stay updated with industry trends
Troubleshoot and optimize performance
Write clean, maintainable code",,"Agile methodologies, AI/ML, AI/ML Integration, API Design, APIs, AWS, Azure, Babel, Cloud services, Express, GCP, Git, JavaScript, ML integration, MVC Architecture, Node.js, NoSQL, Python, PyTorch, React, RESTful API, RESTful API design, SQL, TensorFlow, TypeScript, Webpack","Bachelor's Degree, Master's Degree",Senior level / Expert,6,Full Time,,2025-08-07,ai-ai-engineer-01,stewart_gates_and_kelley@demo
Artificial Intelligence,AI Engineer,"Plano, TX, US","Apply containerization and deployment techniques
Collaborate with cross-functional teams
Communicate technical concepts
Design and implement AI/ML solutions
Develop prototypes and POCs
Develop RAG applications and agentic workflows
Fine-tune and deploy OpenAI models
Integrate LLMs into enterprise applications
Stay updated on AI advancements",,"AI integration, AI/ML, AI/ML Development, Angular, Azure OpenAI, Chainlit, Cloud services, Containerization, Content Analytics, Deep learning, Deployment, Fine Tuning, Flask, Generative AI, Langchain, Llama Index, LLMs, Machine Learning, ML development, Model Fine-tuning, NLP, OpenAI models, Pinecone, Prompt engineering, Python, React, SQL, Streamlit, TensorFlow, Vector Databases",Bachelor's Degree,Mid-level / Intermediate,3,Full Time,,2025-08-07,ai-ai-engineer-02,smith_ltd@demo
Artificial Intelligence,"Senior Lead Software Engineer, AI Engineering",Remote - Ukraine [R],"Build scalable AI infrastructure
Collaborate across teams to improve developer experience
Design AI-powered developer tools
Embed Gen-AI into CI/CD and development processes
Evaluate new AI/ML technologies
Integrate intelligent agents into workflows
Mentor engineering team","Collaborative environment
Innovation-driven culture
Mentorship opportunities","Agent Frameworks, AI/ML, AI/ML Development, AI/ML libraries, AI Tooling, C#, Go, JavaScript, LLM integration, ML development, ML Libraries, Open Source, Open-source contributions, Python, System design, TypeScript, Vector Databases","Bachelor's Degree, Master's Degree",Senior level / Expert,5,Full Time,,2025-08-07,ai-senior-lead-software-engineer-ai-engineering-01,mckenzie-callahan@demo
Artificial Intelligence,AI Architect,"7 Merchant Place, 9 Fredman Drive, Sandton, Johannesburg, 2196, South Africa","Align AI initiatives with business objectives
Build collaborative relationships across teams
Collaborate with cross-functional teams on AI requirements
Create AI strategies and roadmaps
Design AI system architecture
Develop data pipelines and deployment strategies
Optimize and fine-tune AI models
Stay updated with AI/ML advancements","Comprehensive benefits
Development programs
Educational support
Flexible work options
Inclusive environment","AI Governance, AWS, Azure, Databricks, Embeddings, GCP, Generative AI, Graph AI, Hadoop, Knowledge graphs, Langchain, LLMs, MLOps, Neo4j, OpenAI, Python, PyTorch, RAG, Retrieval systems, Spark, TensorFlow, Vector Databases","Bachelor, Master",Senior level / Expert,5,Full Time,,2025-08-07,ai-ai-architect-01,patterson_inc@demo
Artificial Intelligence,AI Enablement engineer - Assistant Vice President,"Bangalore, India","Collaborate with cross-functional teams
Communicate technical concepts to stakeholders
Design, develop, and deploy AI/ML models
Drive AI adoption in organization
Ensure AI compliance with regulations
Integrate AI into business processes
Optimize and fine-tune AI models
Stay updated with AI/ML advancements","Comprehensive benefits
Development programs
Educational support
Flexible work options","AI Governance, AWS, Azure, Databricks, Data Engineering, Embeddings, GCP, Generative AI, Graph AI, Hadoop, Knowledge graphs, Langchain, LLMs, MLOps, Neo4j, OpenAI, Python, PyTorch, RAG, Retrieval systems, Spark, TensorFlow, Vector Databases","Bachelor, Master",Executive level / Director,3,Full Time,,2025-08-07,ai-ai-enablement-engineer-assistant-vice-president-01,martin-bennett@demo
Artificial Intelligence,AI & Analytics Engineer,"Bengaluru, Karnataka, India","Build and maintain data pipelines
Collaborate with cross-functional teams
Conduct exploratory data analysis
Develop dashboards and analytics tools
Evaluate models and track metrics
Integrate AI solutions into data workflows
Stay updated on AI trends
Support prompt design and testing",,"APIs, Data Visualization, Git, JSON, Langchain, Machine Learning, OpenAI APIs, Pandas, Power BI, Python, REST APIs, Scikit-learn, SQL, Streamlit, Version control","Bachelor's Degree, Master's Degree",Entry-level / Junior,1,Full Time,,2025-08-07,ai-ai-and-analytics-engineer-01,dixon_inc@demo
Artificial Intelligence,AI Fullstack Developer,United States - Remote [R],"Build scalable RESTful APIs
Design and develop full-stack applications
Create prototypes and pilot projects demonstrating GenAI impact
Define architectural strategy focusing on scalability, security, and compliance
Design and deliver GenAI solutions for enterprise clients
Engage with clients to translate needs into architectures
Ensure solutions meet standards like SOC 2, HIPAA, FedRAMP, GDPR
Lead project development from concept to deployment",,"AI architecture, AI Risk, AI risk management, Client engagement, Data Governance, Enterprise Integration, Fine Tuning, GenAI tools, Leadership, Model Fine-tuning, Prompt engineering, RAG, Risk Management, Solution design, Vector Databases","AI, Computer Science, Engineering",Senior level / Expert,5,Contract,USD 150K-170K,2025-08-07,ai-ai-fullstack-developer-01,green_schmidt_and_yoder@demo
Artificial Intelligence,"AI Application Engineer, Marketing Technology and Engineering","Mexico City, CDMX, Mexico","Build and deploy GenAI solutions
Collaborate with AI Engineers for integration
Collect, clean, and preprocess data
Conduct exploratory data analysis
Contribute to best practices and playbooks
Develop and refine ML models
Document development processes
Evaluate and optimize model performance
Monitor AI outputs for bias and accuracy
Stay updated with AI/ML trends",,"AI, Bias Mitigation, Chatbots, Data Pipelines, Data Preprocessing, Fine Tuning, Language Models, Large Language Models, LLMs, ML, Model Deployment, Model Evaluation, Model Fine-tuning, Python, PyTorch, Retrieval-Augmented Generation, TensorFlow, Version control","Bachelor's Degree, Master's Degree",Mid-level / Intermediate,4,Full Time,,2025-08-06,ai-ai-application-engineer-marketing-technology-and-engineering-01,erickson_bean_and_robinson@demo
Artificial Intelligence,Director of AI & ML,"Denver, CO, United States","Collaborate with stakeholders
Design and implement AI solutions
Develop AI automation strategy
Drive change management
Educate organization on AI benefits
Evaluate new AI tools and technologies
Identify automation opportunities
Manage AI projects and vendors
Monitor and optimize automation performance",,"AI, AI frameworks, AI Services, Change Management, Cloud AI, Cloud AI services, Data Analysis, Language Processing, Machine Learning, Natural Language, Natural Language Processing, Process Automation, Project Management, Robotic Process Automation, Solution design, Vendor management","Bachelor's Degree, Master's Degree",Executive level / Director,5,Full Time,,2025-08-06,ai-director-of-ai-and-ml-01,roth-williams@demo
Artificial Intelligence,Lead AI Engineer,"Pune, Maharashtra, India","Apply machine learning, NLP, GenAI, optimization techniques
Build and deploy end-to-end models
Collaborate with business units to translate data into insights
Develop AI solutions for business problems
Implement AI models in production environments
Mentor junior team members
Partner with academia and internal teams
Research and improve AI/ML techniques
Work with structured and unstructured datasets","Career development opportunities
Flexible-hybrid work
Inclusive environment
Paid Purpose Day
Recognition programs
Wellbeing support","AI Lifecycle, AI Lifecycle Management, APIs, Autogen, Azure, Big Data, Big Data Technologies, Critical Thinking, Data Analysis, Databricks, Data Engineering, Data Technologies, Data Visualization, Docker, GANs, Generative Models, Git, Hypothesis Testing, Kubernetes, Langchain, Lifecycle Management, Model Deployment, Model Evaluation, NLP, NLU, Object-Oriented, Object-oriented programming, Probability, Python, PyTorch, Regression Analysis, Reinforcement Learning, Scikit-learn, Semantic Kernel, Spark, SQL, Statistical Analysis, TensorFlow, Transformers, VAEs","Bachelor's Degree, Master's Degree, PhD",Senior level / Expert,7,Full Time,,2025-08-06,ai-lead-ai-engineer-01,stewart_gates_and_kelley@demo
Artificial Intelligence,Senior AI Engineer,"Ho Chi Minh, Vietnam","Collaborate with cross-functional teams
Build prototypes for AI features
Develop and maintain backend APIs
Support AI integrations and system improvements","Collaborative team environment
Growth in AI and backend skills
Mentorship
Opportunity to work on AI projects","AI API, AI API integration, API Development, API Integration, Application Frameworks, Cloud services, Debugging, DevOps practices, FastAPI, Langchain, OpenAI APIs, Python, RESTful APIs, SQL","Associate Degree, Bachelor's Degree, High School Diploma",Senior level / Expert,3,Full Time,,2025-08-06,ai-senior-ai-engineer-01,reeves_lee_and_cooper@demo
Artificial Intelligence,Staff AI Engineer,Spain,"Collaborate with cross-functional teams including clients and stakeholders
Design and deliver conversational agents handling high-volume interactions
Implement AI strategies
Integrate AI solutions
Optional frontend development
Use Java for development
Utilize AWS services",,"AI integration, API Development, AWS, Backend architecture, Chatbot, Frontend Development, Java, LLM, Python","Bachelor's Degree, Master's Degree",Senior level / Expert,5,Full Time,,2025-08-05,ai-staff-ai-engineer-01,taylor-anderson@demo
Artificial Intelligence,AI/ML Engineer,"Haryana, Gurugram, India","Collaborate with cross-functional teams to integrate AI solutions
Conduct data analysis and preprocessing
Design algorithms and experiment with AI techniques
Develop reusable templates and accelerators
Grow and manage AI solutions team and P&L
Lead customer engagement to understand business needs
Manage partnerships and resourcing
Oversee AI solution delivery from pilot to deployment","Benefits
Stock options","Artificial Intelligence, Business Strategy, Cross-Functional Collaboration, Customer Engagement, Machine Learning, Project Management, Solution architecture, Solution Delivery, Stakeholder management, Team leadership","Bachelor's Degree, Master's Degree, PhD",Mid-level / Intermediate,3,Full Time,,2025-08-05,ai-ai-ml-engineer-01,patterson_inc@demo
Artificial Intelligence,AI Developer,"Sunnyvale, CA, USA","Build user-facing components for AI agent management
Collaborate with research teams to shape AI frameworks
Develop multi-agent orchestration and real-time data analysis core
Explore and implement new AI/ML technologies to improve system performance
Implement transparency, monitoring, and explainability features for AI agents","Benefits
Bonus
Equity","Agent Orchestration, AI Agent, AI agent orchestration, AI/ML, AI/ML technologies, Collaboration with research teams, Data Analysis, Distributed Systems, Explainability in AI, Full Stack, Full-Stack Development, ML Infrastructure, ML Technologies, Monitoring and Logging, Real Time, Real-time Data, Real-time Data Analysis, Software Design, System Architecture","Bachelor's Degree, Master's Degree, PhD",Senior level / Expert,8,Full Time,USD 197K-291K,2025-08-05,ai-ai-developer-01,webster_rhodes_and_bishop@demo
Artificial Intelligence,Head of AI Enablement,"Warsaw, Poland","Collaborate with CTO and DevOps on automation
Develop and implement AI-first solutions
Educate teams on AI delivery models
Identify engineering processes for AI automation
Integrate LLMs and AI tools into workflows
Monitor AI metrics and performance","Global fintech environment
Leadership role in AI transformation
Remote or hybrid work","AI Automation, AI/ML, AI/ML engineering, AI strategy, CI/CD, CI/CD processes, Developer Tooling, Langchain, LLM Deployment, ML Engineering, OpenRouter, Product Development, Prompt engineering, RAG Pipelines, SaaS Architecture, Support automation, Testing Automation","Bachelor's Degree, Master's Degree",Executive level / Director,5,Full Time,,2025-08-05,ai-head-of-ai-enablement-01,chan_vazquez_and_carter@demo
Artificial Intelligence,Staff AI Engineer,"Sydney, Australia [R]","Build and maintain APIs and AI features
Collaborate on open-source SDKs and frameworks
Contribute to AI agent interfaces and infrastructure
Create tools for AI agents
Identify AI use cases
Lead AI project implementation
Manage AI project scope and budget
Monitor AI performance","401k matching
Flexible work arrangements
Full benefits
PE license support
Tuition reimbursement","AI Tool Development, Artificial Intelligence, Data analytics, Language Processing, Machine Learning, Model Deployment, Natural Language, Natural Language Processing, Performance Monitoring, Project Management, Stakeholder management, Team Collaboration, Technical Guidance, Tool Development, Trend analysis","Bachelor's Degree, Master's Degree",Senior level / Expert,5,Full Time,,2025-08-05,ai-staff-ai-engineer-02,martin-bennett@demo
Artificial Intelligence,Senior AI Engineer (Hybrid working),"Cầu Giấy, Hà Nội, Vietnam","Contribute to client AI projects
Develop agent workflows and LLM/prompting systems
Design scalable and modular GenAI architectures
Develop modular RAG architectures for complex applications
Ensure responsible AI practices including fairness and transparency",,"Anti-hallucination tools, Autogen, Crew.ai, Data Architecture, Fine Tuning, Fine-Tuning Methods, HAX Toolkit, Langchain, Langgraph, Large Scale Data, Large-scale data architecture, Llamaindex, LLMOps, Modular RAG, Multi-Modal, Multi-modal LLM, Prompt injection, Pyrit, Python, RAG, Responsible AI, RLHF","Bachelor's Degree, Master's Degree",Senior level / Expert,5,Full Time,,2025-08-05,ai-senior-ai-engineer-hybrid-working-01,pham_ltd@demo
Artificial Intelligence,"Assistant Vice President, AI Innovation","SingPost Centre, Level 02, Singapore","Accelerate AI deployment and pilot programs
Develop and refine AI strategy
Drive change management and adoption
Facilitate training and internal knowledge sharing
Foster AI innovation culture
Identify and prioritize AI use cases
Lead AI solution implementation
Oversee rollout and impact measurement
Translate business needs into AI solutions",,"AI solution design, AI strategy, BigQuery, Change Management, Data analytics, Data pipeline, Data pipeline orchestration, GCP, Machine Learning, Pipeline Orchestration, Project Management, Solution design, Stakeholder collaboration","Bachelor's Degree in Computer Science, Bachelor's Degree in Data Science, Bachelor's degree in Engineering",Executive level / Director,6,Full Time,,2025-08-05,ai-assistant-vice-president-ai-innovation-01,stewart_freeman_and_fox@demo
Artificial Intelligence,AI FullStack Developer (immediate upto 30 days),India - Remote [R],"Build restful APIs
Collaborate with data scientists and product teams
Develop and maintain full-stack AI applications
Integrate machine learning models
Optimize application performance
Write clean, testable code",,"Angular, AWS, Azure, CI/CD, Django, Docker, FastAPI, Flask, GCP, Kubernetes, ML deployment, MLOps, NoSQL, Python, PyTorch, React, Scikit-learn, SQL, TensorFlow","Bachelor's Degree, Master's Degree",Mid-level / Intermediate,9,Full Time,,2025-08-05,ai-ai-fullstack-developer-immediate-upto-30-days-01,webster_rhodes_and_bishop@demo
Artificial Intelligence,Director of AI,United States - Remote [R],"Build business cases for AI
Coordinate with ServiceNow and Workday teams
Define deployment standards
Design data integration protocols
Develop and optimize data pipelines
Ensure security and compliance
Establish data governance
Evaluate tools and platforms
Lead AI architecture design
Maintain system performance
Mentor engineering teams
Strategic planning for Gen AI solutions
Support integration testing
Translate requirements into technical solutions
Troubleshoot technical issues
Understand HR tech ecosystem",,"AI frameworks, AI/ML, AI/ML Deployment, API Design, AWS Data, AWS Data Engineering, Azure OpenAI, Cloud Integration, Data encryption, Data Engineering, Data exchange, Data Exchange Protocols, Data Governance, Data pipeline, Data Pipeline Development, Data Transformation, DevOps practices, Exchange protocols, Gen AI, Gen AI frameworks, Microservices Architecture, ML deployment, MLOps, Pipeline Development, Role-Based Access, SaaS integrations, Security and Compliance, ServiceNow, System Troubleshooting, Workday","Bachelor's Degree, Engineering, Master’s degree in computer science, Related Field",Executive level / Director,7,Full Time,,2025-08-05,ai-director-of-ai-01,davis-johnson@demo
Artificial Intelligence,"Senior Software Engineer, AI/ML GenAI, Core","San Francisco, CA, USA; Sunnyvale, CA, USA","Collaborate through design and code reviews
Contribute to documentation and educational content
Design and implement generative AI applications using Amazon Bedrock
Develop prompts, chaining logic, response parsing
Implement access controls and ensure security and compliance
Integrate Bedrock with AWS services like Lambda, S3, API Gateway
Monitor, log, and optimize AI models and endpoints",,"AI/ML, AI/ML Deployment, Amazon Bedrock, API Gateway, AWS Services, CloudFormation, Generative AI, Governance, IAC tools, IAM, JSON, Lambda, ML deployment, Model Optimization, Monitoring, Prompt engineering, Python, REST APIs, S3, Security, Terraform","Bachelor's Degree, Master's Degree",Senior level / Expert,5,Full Time,USD 166K-244K,2025-08-04,ai-senior-software-engineer-ai-ml-genai-core-01,parks_and_sons@demo
Artificial Intelligence,Cloud Engineer,"Abu Dhabi, United Arab Emirates","Analyze customer feedback
Define and prioritize product roadmap
Gather requirements from users
Manage backlog and coordinate teams
Monitor product performance
Stay updated with AI/ML trends",,"AI/ML, AI/ML concepts, Communication, Data Analysis, Generative AI, Management Tools, ML concepts, Problem Solving, Product Management, Product management tools","Bachelor's Degree, Bachelor's in Business, Bachelor's in Computer Science",Senior level / Expert,7,Full Time,,2025-08-04,ai-cloud-engineer-01,williams_and_sons@demo
Artificial Intelligence,Business-Analyst,"Abu Dhabi, United Arab Emirates","Analyze business requirements
Collaborate with stakeholders to define project scope
Conduct market research and competitive analysis
Convert requirements into user stories
Develop and present business cases
Identify opportunities for AI/ML solutions
Monitor and evaluate AI solution performance
Refine and prioritize user stories
Stay current with AI/ML advancements",,"AI/ML, AI/ML technologies, Analysis tools, Business Analysis, Business analysis tools, Business Intelligence, Communication skills, Data Analysis, Machine Learning, ML Technologies, Problem Solving, Reporting, Stakeholder collaboration","Bachelor's Degree, Bachelor's in Business, Bachelor's in Computer Science",Mid-level / Intermediate,8,Full Time,,2025-08-04,ai-business-analyst-01,patterson_inc@demo
